cmp_segid,month,period_label,avg_speed_block
25,2025-02,12:00 pm to 6:00 pm,23.692444444444444
25,2025-02,6:00 am to 12:00 pm,26.83202777777778
25,2025-02,6:00 pm to 12:00 am,29.46475
25,2025-03,12:00 am to 6:00 am,33.641958333333335
25,2025-03,12:00 pm to 6:00 pm,21.44648611111111
25,2025-03,6:00 am to 12:00 pm,26.125902777777778
25,2025-03,6:00 pm to 12:00 am,29.329875
26,2024-12,12:00 am to 6:00 am,48.158218994299524
26,2024-12,12:00 pm to 6:00 pm,38.43355128205128
26,2024-12,6:00 am to 12:00 pm,45.49417948717949
26,2024-12,6:00 pm to 12:00 am,46.280551282051285
26,2025-01,12:00 am to 6:00 am,49.26888811866601
26,2025-01,12:00 pm to 6:00 pm,41.50594047619048
26,2025-01,6:00 am to 12:00 pm,45.80627380952381
26,2025-01,6:00 pm to 12:00 am,47.49239285714285
26,2025-02,12:00 am to 6:00 am,47.67644444444445
26,2025-02,12:00 pm to 6:00 pm,41.66108333333333
26,2025-02,6:00 am to 12:00 pm,44.75165277777777
26,2025-02,6:00 pm to 12:00 am,45.97544444444444
26,2025-03,12:00 am to 6:00 am,48.26170833333333
26,2025-03,12:00 pm to 6:00 pm,41.27275
26,2025-03,6:00 am to 12:00 pm,45.15
26,2025-03,6:00 pm to 12:00 am,46.27254166666666
27,2024-12,12:00 am to 6:00 am,47.72356869347622
27,2024-12,12:00 pm to 6:00 pm,39.20470512820513
27,2024-12,6:00 am to 12:00 pm,45.14199275218098
27,2024-12,6:00 pm to 12:00 am,44.99673076923077
27,2025-01,12:00 am to 6:00 am,47.945710735917544
27,2025-01,12:00 pm to 6:00 pm,39.13751190476191
27,2025-01,6:00 am to 12:00 pm,44.859857142857145
27,2025-01,6:00 pm to 12:00 am,45.86408968350403
27,2025-02,12:00 am to 6:00 am,47.45531944444445
27,2025-02,12:00 pm to 6:00 pm,41.19204166666667
27,2025-02,6:00 am to 12:00 pm,43.77081944444444
27,2025-02,6:00 pm to 12:00 am,44.79770833333333
27,2025-03,12:00 am to 6:00 am,47.58034722222222
27,2025-03,12:00 pm to 6:00 pm,41.355375
27,2025-03,6:00 am to 12:00 pm,43.52740277777778
27,2025-03,6:00 pm to 12:00 am,45.78062499999999
28,2024-12,12:00 am to 6:00 am,32.614859214263305
28,2024-12,12:00 pm to 6:00 pm,20.56165384615385
28,2024-12,6:00 am to 12:00 pm,25.92787584038213
28,2024-12,6:00 pm to 12:00 am,27.787367735867736
28,2025-01,12:00 am to 6:00 am,32.66055637340205
28,2025-01,12:00 pm to 6:00 pm,21.51034523809524
28,2025-01,6:00 am to 12:00 pm,25.562011904761903
28,2025-01,6:00 pm to 12:00 am,28.07563095238095
28,2025-02,12:00 am to 6:00 am,31.281263888888887
28,2025-02,12:00 pm to 6:00 pm,21.227180555555556
28,2025-02,6:00 am to 12:00 pm,23.943055555555556
28,2025-02,6:00 pm to 12:00 am,27.572625
28,2025-03,12:00 am to 6:00 am,31.59588888888889
28,2025-03,12:00 pm to 6:00 pm,19.771513888888887
28,2025-03,6:00 am to 12:00 pm,23.153875
28,2025-03,6:00 pm to 12:00 am,27.40211111111111
29,2024-12,12:00 am to 6:00 am,26.432955945032536
29,2024-12,12:00 pm to 6:00 pm,19.055205128205127
29,2024-12,6:00 am to 12:00 pm,22.725923076923078
29,2024-12,6:00 pm to 12:00 am,24.555064102564103
29,2025-01,12:00 am to 6:00 am,26.424703322229878
29,2025-01,12:00 pm to 6:00 pm,20.373238095238097
29,2025-01,6:00 am to 12:00 pm,22.39266666666667
29,2025-01,6:00 pm to 12:00 am,24.859309523809525
29,2025-02,12:00 am to 6:00 am,26.624583333333334
29,2025-02,12:00 pm to 6:00 pm,19.909166666666668
29,2025-02,6:00 am to 12:00 pm,21.215694444444445
29,2025-02,6:00 pm to 12:00 am,24.580180555555554
29,2025-03,12:00 am to 6:00 am,26.57620833333333
29,2025-03,12:00 pm to 6:00 pm,19.124875
29,2025-03,6:00 am to 12:00 pm,20.31872222222222
29,2025-03,6:00 pm to 12:00 am,24.49833333333333
30,2024-12,12:00 am to 6:00 am,31.869014083551246
30,2024-12,12:00 pm to 6:00 pm,18.758166666666668
30,2024-12,6:00 am to 12:00 pm,23.84048717948718
30,2024-12,6:00 pm to 12:00 am,26.074884615384615
30,2025-01,12:00 am to 6:00 am,31.805828715935224
30,2025-01,12:00 pm to 6:00 pm,20.09697619047619
30,2025-01,6:00 am to 12:00 pm,23.572333333333333
30,2025-01,6:00 pm to 12:00 am,26.457916666666666
30,2025-02,12:00 am to 6:00 am,31.437319444444444
30,2025-02,12:00 pm to 6:00 pm,19.44761111111111
30,2025-02,6:00 am to 12:00 pm,22.441847222222222
30,2025-02,6:00 pm to 12:00 am,25.90238888888889
30,2025-03,12:00 am to 6:00 am,31.28884722222222
30,2025-03,12:00 pm to 6:00 pm,19.314666666666668
30,2025-03,6:00 am to 12:00 pm,22.462416666666666
30,2025-03,6:00 pm to 12:00 am,25.788680555555555
31,2024-12,12:00 am to 6:00 am,24.633227088924674
31,2024-12,12:00 pm to 6:00 pm,21.844423866653226
